"Objet";"Soumis le";"Statut";"Destinataire"
"Sample Mail On Demand";"11/04/2022 10:28:49";"Succès";"ADERTY firm
Jaco Aderti
17 Bella Villa Roma
12666 QUERBO"
"Sample Mail On Demand";"15/04/2022 11:42:27";"Succès";"Mutuelle des Architectes Français
DOSI : Direction Informatiques – Services Etudes
189 boulevard Malesherbes
75856 PARIS CEDEX 17"
"Documents importants";"15/05/2023 13:58:29";"Echec";"189 Boulevard MALESHERBES
75856 PARIS CEDEX 17"
"Documents importants";"15/05/2023 13:42:44";"Echec";"189 Boulevard MALESHERBES
75856 PARIS CEDEX 17"
"Documents importants";"15/05/2023 13:44:21";"Echec";"189 Boulevard MALESHERBES
75856 PARIS CEDEX 17"
"Documents importants";"15/05/2023 14:30:01";"Echec";"189 Boulevard MALESHERBES
75856 PARIS CEDEX 17"
"Documents importants";"15/05/2023 14:39:57";"Echec";"189 Boulevard MALESHERBES
75856 PARIS CEDEX 17"
"Documents importants";"31/05/2023 14:33:40";"Echec";"189 Boulevard MALESHERBES
75856 PARIS CEDEX 17"
"Documents importants";"31/03/2023 17:52:41";"Echec";"189 Boulevard MALESHERBES
75856 PARIS CEDEX 17"
"Documents importants";"31/03/2023 18:07:34";"Echec";"189 Boulevard MALESHERBES
75856 PARIS CEDEX 17"
"Documents importants";"26/04/2023 13:41:10";"Echec";"189 Boulevard MALESHERBES
75856 PARIS CEDEX 17"
"Sample Mail On Demand";"11/04/2022 12:31:24";"Courrier non distribué";"ADERTY firm
Jaco Aderti
17 Bella Villa Roma
12666 QUERBO"
"Sample Mail On Demand";"13/04/2022 11:17:10";"Courrier non distribué";"ADERTY firm
Jaco Aderti
17 Bella Villa Roma
12666 QUERBO"
"Sample Mail On Demand";"13/04/2022 11:09:13";"Annulé";"ADERTY firm
Jaco Aderti
17 Bella Villa Roma
12666 QUERBO"